상품대분류명,상품중분류명,가격구간,전환율,취소율,반품율
디지털/가전,PC용품,2_ 10~30만원,60.5%,37%,2.8%
패션의류,UNISEX캐쥬얼,1_ 0~10만원,61.0%,26%,14.4%
식품,가공식품,1_ 0~10만원,84.0%,16%,0.5%
식품,가공식품,2_ 10~30만원,77.9%,21%,1.9%
식품,가공식품,3_ 30~50만원,66.1%,32%,3.2%
패션잡화,가방,1_ 0~10만원,47.9%,34%,18.4%
패션잡화,가방,2_ 10~30만원,41.8%,39%,19.8%
패션잡화,가방,3_ 30~50만원,55.2%,36%,9.9%
패션잡화,가방,4_ 50~100만원,21.6%,58%,22.5%
패션잡화,가방,5_ 100만원 이상,14.6%,72%,14.0%
패션잡화,가방(명품),1_ 0~10만원,61.4%,30%,9.4%
패션잡화,가방(명품),2_ 10~30만원,36.4%,43%,22.3%
패션잡화,가방(명품),3_ 30~50만원,31.9%,48%,22.2%
패션잡화,가방(명품),4_ 50~100만원,31.9%,49%,20.3%
패션잡화,가방(명품),5_ 100만원 이상,26.7%,53%,21.3%
생활/건강,건강,1_ 0~10만원,75.1%,19%,7.1%
생활/건강,건강,2_ 10~30만원,66.3%,23%,11.3%
생활/건강,건강,3_ 30~50만원,57.8%,25%,18.0%
생활/건강,건강,4_ 50~100만원,75.0%,25%,0.0%
생활/건강,건강,5_ 100만원 이상,51.4%,43%,5.8%
식품,건강식품,1_ 0~10만원,77.9%,21%,1.9%
식품,건강식품,2_ 10~30만원,76.2%,22%,2.5%
식품,건강식품,3_ 30~50만원,75.3%,23%,2.4%
식품,건강식품,4_ 50~100만원,78.0%,21%,1.0%
식품,건강식품,5_ 100만원 이상,66.5%,29%,5.3%
디지털/가전,계절가전,1_ 0~10만원,71.7%,23%,6.1%
디지털/가전,계절가전,2_ 10~30만원,66.2%,27%,7.9%
디지털/가전,계절가전,3_ 30~50만원,65.9%,28%,6.4%
디지털/가전,계절가전,4_ 50~100만원,53.5%,45%,1.8%
디지털/가전,계절가전,5_ 100만원 이상,39.5%,61%,0.2%
스포츠/레저,골프용품,1_ 0~10만원,58.9%,19%,21.9%
스포츠/레저,골프용품,2_ 10~30만원,42.6%,30%,27.0%
스포츠/레저,골프용품,4_ 50~100만원,33.3%,67%,0.0%
스포츠/레저,골프웨어,1_ 0~10만원,53.0%,26%,21.6%
스포츠/레저,골프웨어,2_ 10~30만원,41.9%,34%,25.1%
스포츠/레저,골프웨어,3_ 30~50만원,25.2%,17%,57.3%
생활/건강,공구/DIY,1_ 0~10만원,74.9%,21%,5.0%
패션의류,남성의류,1_ 0~10만원,62.6%,23%,14.9%
패션의류,남성의류,2_ 10~30만원,59.2%,23%,18.5%
패션의류,남성의류,3_ 30~50만원,38.1%,37%,25.9%
패션의류,남성의류,4_ 50~100만원,19.0%,38%,44.0%
패션의류,남성의류(명품),1_ 0~10만원,60.6%,26%,13.0%
패션의류,남성의류(명품),2_ 10~30만원,35.4%,41%,23.8%
패션의류,남성의류(명품),4_ 50~100만원,8.3%,75%,16.7%
이미용,네일케어,1_ 0~10만원,75.2%,20%,5.1%
디지털/가전,노트북,3_ 30~50만원,0.0%,100%,0.0%
디지털/가전,노트북,4_ 50~100만원,40.3%,57%,2.2%
디지털/가전,노트북,5_ 100만원 이상,41.4%,59%,0.7%
식품,농산물,1_ 0~10만원,85.7%,14%,1.0%
식품,농산물,2_ 10~30만원,80.3%,18%,2.0%
식품,농산물,3_ 30~50만원,66.3%,34%,0.0%
문화/취미,도서/미디어,1_ 0~10만원,72.0%,28%,1.1%
문화/취미,도서/미디어,2_ 10~30만원,72.3%,28%,0.9%
출산/육아,도서/미디어,2_ 10~30만원,71.1%,27%,2.1%
출산/육아,도서/미디어,3_ 30~50만원,31.5%,46%,22.8%
출산/육아,도서/미디어,4_ 50~100만원,50.0%,50%,0.0%
스포츠/레저,등산용품,1_ 0~10만원,59.3%,25%,17.0%
스포츠/레저,등산용품,2_ 10~30만원,61.8%,22%,16.4%
이미용,디퓨저,2_ 10~30만원,58.5%,38%,5.5%
서비스,렌탈,5_ 100만원 이상,92.4%,1%,0.0%
이미용,메이크업,1_ 0~10만원,77.5%,20%,3.5%
이미용,메이크업,2_ 10~30만원,68.8%,27%,5.3%
이미용,메이크업,3_ 30~50만원,69.8%,27%,4.3%
생활/건강,목욕/위생용품,1_ 0~10만원,76.9%,16%,7.8%
생활/건강,목욕/위생용품,2_ 10~30만원,72.9%,23%,5.1%
생활/건강,목욕/위생용품,3_ 30~50만원,62.3%,32%,6.5%
이미용,바디케어,1_ 0~10만원,77.2%,21%,2.9%
이미용,바디케어,2_ 10~30만원,71.6%,25%,4.4%
이미용,바디케어,3_ 30~50만원,58.5%,34%,8.7%
생활/건강,방범/보안/안전,3_ 30~50만원,56.2%,34%,10.8%
생활/건강,방범/보안/안전,5_ 100만원 이상,44.1%,56%,1.2%
주방,보관용기,1_ 0~10만원,73.9%,21%,5.9%
주방,보관용기,2_ 10~30만원,68.1%,25%,7.5%
주방,보관용기,3_ 30~50만원,68.8%,24%,8.5%
언더웨어,보정속옷,1_ 0~10만원,60.5%,22%,18.6%
언더웨어,보정속옷,2_ 10~30만원,59.9%,22%,19.1%
금융,보험,4_ 50~100만원,98.6%,1%,0.0%
금융,보험,5_ 100만원 이상,76.9%,1%,0.0%
이미용,뷰티소품,1_ 0~10만원,70.8%,22%,7.3%
이미용,뷰티소품,2_ 10~30만원,70.7%,20%,9.0%
배송옵션/사은품,사은품/경품,1_ 0~10만원,0.0%,100%,0.0%
인테리어,생활가구,1_ 0~10만원,71.7%,24%,5.1%
인테리어,생활가구,2_ 10~30만원,66.8%,27%,6.9%
인테리어,생활가구,3_ 30~50만원,46.2%,48%,6.9%
인테리어,생활가구,5_ 100만원 이상,51.5%,47%,1.5%
디지털/가전,생활가전,1_ 0~10만원,75.9%,19%,5.7%
디지털/가전,생활가전,2_ 10~30만원,69.4%,24%,7.3%
디지털/가전,생활가전,3_ 30~50만원,67.3%,29%,4.2%
디지털/가전,생활가전,4_ 50~100만원,61.5%,34%,4.8%
디지털/가전,생활가전,5_ 100만원 이상,54.5%,43%,3.3%
생활/건강,생활잡화,1_ 0~10만원,65.3%,24%,10.7%
생활/건강,생활잡화,2_ 10~30만원,53.3%,40%,8.4%
생활/건강,생활잡화,3_ 30~50만원,62.2%,33%,6.3%
생활/건강,수납용품,1_ 0~10만원,73.7%,21%,5.9%
생활/건강,수납용품,2_ 10~30만원,71.4%,24%,5.8%
생활/건강,수납용품,3_ 30~50만원,63.6%,31%,5.5%
생활/건강,수납용품,4_ 50~100만원,64.0%,30%,6.1%
식품,수산물,1_ 0~10만원,84.6%,16%,0.3%
식품,수산물,2_ 10~30만원,83.8%,17%,0.4%
스포츠/레저,수영/수상용품,1_ 0~10만원,64.1%,27%,10.6%
이미용,스킨케어,1_ 0~10만원,76.8%,20%,3.7%
이미용,스킨케어,2_ 10~30만원,73.0%,23%,4.5%
이미용,스킨케어,3_ 30~50만원,62.5%,31%,6.9%
이미용,스킨케어,4_ 50~100만원,57.9%,37%,6.0%
이미용,스킨케어,5_ 100만원 이상,51.0%,44%,5.8%
스포츠/레저,스포츠용품,1_ 0~10만원,65.7%,22%,12.8%
스포츠/레저,스포츠용품,2_ 10~30만원,58.5%,25%,19.1%
스포츠/레저,스포츠의류,1_ 0~10만원,50.8%,28%,22.1%
스포츠/레저,스포츠의류,2_ 10~30만원,43.8%,32%,25.2%
스포츠/레저,스포츠의류,3_ 30~50만원,35.7%,39%,25.8%
스포츠/레저,스포츠의류,4_ 50~100만원,33.6%,44%,22.7%
스포츠/레저,스포츠화/운동화,1_ 0~10만원,66.9%,19%,14.6%
스포츠/레저,스포츠화/운동화,2_ 10~30만원,44.4%,28%,28.3%
인테리어,시공/리모델링,4_ 50~100만원,31.5%,68%,0.9%
인테리어,시공/리모델링,5_ 100만원 이상,27.8%,72%,0.0%
인테리어,시스템가구,5_ 100만원 이상,16.4%,84%,0.0%
패션잡화,신발,1_ 0~10만원,48.2%,28%,24.3%
패션잡화,신발,2_ 10~30만원,49.5%,28%,23.7%
패션잡화,신발,3_ 30~50만원,32.2%,47%,21.7%
패션잡화,신발(명품),1_ 0~10만원,45.3%,35%,20.3%
패션잡화,신발(명품),2_ 10~30만원,48.4%,30%,22.2%
패션잡화,신발(명품),3_ 30~50만원,30.3%,45%,26.5%
패션잡화,신발(명품),4_ 50~100만원,27.5%,49%,25.1%
패션잡화,신발(명품),5_ 100만원 이상,31.2%,43%,27.1%
패션잡화,안경,1_ 0~10만원,50.8%,27%,22.7%
패션잡화,안경,2_ 10~30만원,37.0%,35%,29.3%
패션잡화,안경,3_ 30~50만원,37.6%,34%,29.5%
패션잡화,안경,4_ 50~100만원,32.1%,40%,29.3%
패션잡화,안경(명품),4_ 50~100만원,19.9%,51%,29.9%
문화/취미,애완/반려,1_ 0~10만원,69.2%,18%,13.5%
문화/취미,애완/반려,2_ 10~30만원,66.4%,23%,10.6%
패션의류,여성의류,1_ 0~10만원,43.3%,32%,25.7%
패션의류,여성의류,2_ 10~30만원,32.8%,39%,29.4%
패션의류,여성의류,3_ 30~50만원,24.2%,47%,29.6%
패션의류,여성의류,4_ 50~100만원,18.9%,52%,30.0%
패션의류,여성의류,5_ 100만원 이상,15.1%,56%,29.7%
패션의류,여성의류(명품),1_ 0~10만원,39.3%,37%,24.5%
패션의류,여성의류(명품),2_ 10~30만원,33.6%,41%,26.2%
패션의류,여성의류(명품),3_ 30~50만원,28.7%,45%,27.8%
패션의류,여성의류(명품),4_ 50~100만원,22.5%,47%,31.5%
패션의류,여성의류(명품),5_ 100만원 이상,24.0%,45%,31.3%
서비스,여행,1_ 0~10만원,46.7%,41%,13.3%
서비스,여행,2_ 10~30만원,42.5%,33%,25.2%
서비스,여행,3_ 30~50만원,55.2%,14%,11.9%
서비스,여행,4_ 50~100만원,84.6%,1%,0.5%
서비스,여행,5_ 100만원 이상,75.9%,1%,0.0%
디지털/가전,영상가전/멀티미디어,1_ 0~10만원,69.9%,26%,5.6%
디지털/가전,영상가전/멀티미디어,2_ 10~30만원,59.9%,33%,8.2%
디지털/가전,영상가전/멀티미디어,3_ 30~50만원,46.0%,49%,4.6%
디지털/가전,영상가전/멀티미디어,4_ 50~100만원,13.6%,86%,0.0%
디지털/가전,영상가전/멀티미디어,5_ 100만원 이상,39.0%,62%,0.2%
출산/육아,완구/교구,2_ 10~30만원,69.5%,27%,4.1%
생활/건강,욕실용품,1_ 0~10만원,77.3%,18%,5.8%
생활/건강,욕실용품,2_ 10~30만원,69.2%,31%,3.8%
출산/육아,유아안전/실내용품,3_ 30~50만원,71.2%,27%,1.5%
출산/육아,유아안전/실내용품,4_ 50~100만원,57.6%,38%,4.3%
출산/육아,유아안전/실내용품,5_ 100만원 이상,23.5%,45%,31.4%
디지털/가전,이미용가전,1_ 0~10만원,71.1%,23%,6.6%
디지털/가전,이미용가전,2_ 10~30만원,69.4%,24%,7.4%
디지털/가전,이미용가전,3_ 30~50만원,71.5%,25%,5.4%
디지털/가전,이미용가전,4_ 50~100만원,68.9%,26%,5.5%
언더웨어,이지웨어,1_ 0~10만원,62.4%,24%,14.5%
언더웨어,이지웨어,2_ 10~30만원,45.1%,32%,24.1%
패션의류,이지웨어,1_ 0~10만원,56.4%,30%,14.6%
언더웨어,일반,1_ 0~10만원,77.2%,17%,6.6%
언더웨어,일반,2_ 10~30만원,78.6%,16%,5.7%
스포츠/레저,자동차,1_ 0~10만원,38.9%,64%,0.0%
스포츠/레저,자동차,2_ 10~30만원,69.0%,25%,7.4%
스포츠/레저,자동차,3_ 30~50만원,65.0%,33%,4.9%
스포츠/레저,자동차,4_ 50~100만원,26.2%,63%,10.3%
생활/건강,전기/조명,1_ 0~10만원,68.6%,27%,5.3%
생활/건강,전기/조명,2_ 10~30만원,74.4%,21%,5.4%
생활/건강,전기/조명,4_ 50~100만원,55.1%,38%,7.1%
생활/건강,전기/조명,5_ 100만원 이상,38.6%,39%,22.7%
생활/건강,제지/위생,1_ 0~10만원,79.3%,20%,1.5%
생활/건강,제지/위생,2_ 10~30만원,77.6%,20%,4.5%
주방,조리기구,1_ 0~10만원,71.8%,21%,7.7%
주방,조리기구,2_ 10~30만원,67.7%,27%,6.7%
주방,조리기구,3_ 30~50만원,64.8%,29%,6.7%
주방,조리기구,4_ 50~100만원,50.1%,41%,9.0%
출산/육아,주니어 의류,1_ 0~10만원,53.9%,29%,17.2%
디지털/가전,주방가전,1_ 0~10만원,73.2%,21%,6.6%
디지털/가전,주방가전,2_ 10~30만원,68.8%,24%,7.8%
디지털/가전,주방가전,3_ 30~50만원,62.1%,32%,6.9%
디지털/가전,주방가전,4_ 50~100만원,51.8%,39%,10.2%
디지털/가전,주방가전,5_ 100만원 이상,36.6%,63%,0.6%
주방,주방용품,1_ 0~10만원,78.6%,19%,4.7%
주방,주방용품,2_ 10~30만원,67.9%,25%,8.1%
주방,주방용품,3_ 30~50만원,56.3%,36%,8.3%
주방,주방용품,4_ 50~100만원,49.2%,43%,8.6%
주방,주방용품,5_ 100만원 이상,42.8%,51%,7.5%
주방,주방잡화,1_ 0~10만원,74.6%,19%,6.9%
주방,주방잡화,2_ 10~30만원,69.6%,22%,9.2%
보석/장신구,주화&순금,1_ 0~10만원,50.4%,49%,1.9%
보석/장신구,주화&순금,2_ 10~30만원,57.0%,40%,4.6%
보석/장신구,주화&순금,3_ 30~50만원,53.2%,45%,3.8%
보석/장신구,주화&순금,4_ 50~100만원,39.6%,54%,7.0%
보석/장신구,주화&순금,5_ 100만원 이상,27.9%,68%,4.4%
보석/장신구,쥬얼리,1_ 0~10만원,54.9%,35%,11.3%
보석/장신구,쥬얼리,2_ 10~30만원,43.9%,44%,13.5%
보석/장신구,쥬얼리,3_ 30~50만원,37.8%,49%,14.8%
보석/장신구,쥬얼리,4_ 50~100만원,35.4%,52%,12.7%
보석/장신구,쥬얼리,5_ 100만원 이상,27.1%,60%,13.8%
보석/장신구,쥬얼리(명품),2_ 10~30만원,41.1%,44%,16.4%
보석/장신구,쥬얼리(명품),3_ 30~50만원,37.1%,45%,19.2%
보석/장신구,쥬얼리(명품),4_ 50~100만원,31.6%,49%,20.3%
보석/장신구,쥬얼리(명품),5_ 100만원 이상,26.8%,54%,20.1%
패션잡화,지갑,2_ 10~30만원,51.9%,35%,15.0%
패션잡화,지갑,3_ 30~50만원,30.6%,57%,14.3%
패션잡화,지갑(명품),2_ 10~30만원,45.3%,44%,14.4%
패션잡화,지갑(명품),3_ 30~50만원,46.3%,42%,13.3%
패션잡화,지갑(명품),4_ 50~100만원,38.1%,46%,17.4%
패션잡화,지갑(명품),5_ 100만원 이상,31.5%,49%,20.2%
생활/건강,청소/세탁,1_ 0~10만원,78.5%,17%,5.7%
생활/건강,청소/세탁,2_ 10~30만원,68.2%,22%,9.9%
식품,축산물,1_ 0~10만원,85.9%,15%,0.3%
식품,축산물,2_ 10~30만원,81.8%,19%,0.6%
인테리어,침구,1_ 0~10만원,65.4%,26%,9.3%
인테리어,침구,2_ 10~30만원,60.8%,29%,10.8%
인테리어,침구,3_ 30~50만원,50.4%,37%,13.8%
인테리어,침구,4_ 50~100만원,47.2%,41%,12.5%
인테리어,침구,5_ 100만원 이상,35.2%,51%,15.0%
인테리어,침실가구,1_ 0~10만원,65.3%,25%,9.7%
인테리어,침실가구,2_ 10~30만원,63.9%,32%,5.8%
인테리어,침실가구,3_ 30~50만원,64.1%,28%,9.7%
인테리어,침실가구,4_ 50~100만원,42.9%,51%,6.7%
인테리어,침실가구,5_ 100만원 이상,40.1%,56%,4.5%
스포츠/레저,캠핑용품,1_ 0~10만원,70.1%,23%,7.9%
스포츠/레저,캠핑용품,2_ 10~30만원,55.6%,37%,9.6%
디지털/가전,통신기기,5_ 100만원 이상,49.1%,48%,3.1%
보석/장신구,패션소품,2_ 10~30만원,0.0%,125%,0.0%
패션잡화,패션소품,1_ 0~10만원,57.1%,28%,16.2%
패션잡화,패션소품,2_ 10~30만원,47.2%,35%,19.1%
패션잡화,패션소품,3_ 30~50만원,36.0%,46%,19.7%
패션잡화,패션소품,4_ 50~100만원,20.9%,60%,18.7%
패션잡화,패션소품,5_ 100만원 이상,24.6%,56%,19.4%
패션잡화,패션소품(명품),1_ 0~10만원,62.9%,32%,6.4%
패션잡화,패션소품(명품),2_ 10~30만원,46.9%,35%,18.6%
패션잡화,패션소품(명품),3_ 30~50만원,52.6%,34%,14.6%
패션잡화,패션소품(명품),4_ 50~100만원,41.3%,40%,19.5%
패션잡화,패션소품(명품),5_ 100만원 이상,20.3%,53%,27.4%
언더웨어,패션속옷,1_ 0~10만원,59.9%,21%,19.2%
언더웨어,패션속옷,2_ 10~30만원,57.0%,21%,22.5%
출산/육아,패션잡화,1_ 0~10만원,34.1%,49%,18.5%
이미용,향수,1_ 0~10만원,63.6%,33%,4.4%
이미용,향수,2_ 10~30만원,62.9%,32%,5.7%
이미용,향수,3_ 30~50만원,44.0%,51%,7.2%
이미용,향수,4_ 50~100만원,52.8%,41%,6.3%
이미용,헤어케어,1_ 0~10만원,74.9%,22%,4.8%
이미용,헤어케어,2_ 10~30만원,73.1%,21%,6.7%
이미용,헤어케어,3_ 30~50만원,65.7%,29%,6.9%
이미용,헤어케어,4_ 50~100만원,69.0%,25%,6.4%
이미용,헤어케어,5_ 100만원 이상,57.6%,41%,5.2%
스포츠/레저,헬스용품,1_ 0~10만원,67.6%,23%,11.8%
스포츠/레저,헬스용품,2_ 10~30만원,62.0%,29%,10.6%
스포츠/레저,헬스용품,3_ 30~50만원,64.1%,28%,9.4%
스포츠/레저,헬스용품,4_ 50~100만원,40.3%,41%,18.8%
인테리어,홈데코,1_ 0~10만원,74.4%,21%,5.3%
인테리어,홈데코,2_ 10~30만원,58.9%,30%,12.1%
인테리어,홈데코,3_ 30~50만원,52.9%,39%,10.3%
서비스,회원권/이용권,1_ 0~10만원,59.6%,27%,14.2%
서비스,회원권/이용권,2_ 10~30만원,43.6%,35%,21.8%
서비스,회원권/이용권,3_ 30~50만원,41.7%,37%,21.7%
서비스,회원권/이용권,4_ 50~100만원,29.5%,36%,34.8%
서비스,회원권/이용권,5_ 100만원 이상,98.5%,1%,0.0%
